id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
3673914335,node,,,,convenience,,,,54.34148406982422,18.616641998291016,sklep
3673914364,node,Żabka,,,convenience,,,,54.34120178222656,18.616825103759766,sklep
3674409233,node,Wyczółkowskiego 02,,,,,bus_stop,,54.3561897277832,18.617219924926758,przystanek_autobus
3674765895,node,Mostostal,,,,tram_stop,,,54.38576126098633,18.644926071166992,przystanek_tramwaj
3675282225,node,Chałubińskiego,,,,,bus_stop,,54.342132568359375,18.618022918701172,przystanek_autobus
3675282226,node,Chałubińskiego,,,,,bus_stop,,54.34219741821289,18.617061614990234,przystanek_autobus
3675282227,node,Sikorskiego 05,,,,,bus_stop,,54.338260650634766,18.61722755432129,przystanek_autobus
3675282230,node,Sikorskiego 03,,,,,bus_stop,,54.3388671875,18.618927001953125,przystanek_autobus
3675361125,node,Chełm Cienista 03,,,,,bus_stop,,54.33754348754883,18.62626075744629,przystanek_autobus
3675361126,node,Chełm Cienista 02,,,,,bus_stop,,54.337730407714844,18.62618064880371,przystanek_autobus
3675361132,node,Cmentarna,,,,,bus_stop,,54.340763092041016,18.635643005371094,przystanek_autobus
3675361142,node,Worcella 01,,,,,bus_stop,,54.341148376464844,18.626379013061523,przystanek_autobus
3675361149,node,Wronki,,,,,bus_stop,,54.34224319458008,18.628326416015625,przystanek_autobus
3675361152,node,Reformacka,,,,,bus_stop,,54.3425407409668,18.63058090209961,przystanek_autobus
3675361153,node,Stoczniowców,,,,,bus_stop,,54.34325408935547,18.63182830810547,przystanek_autobus
3675436661,node,Sikorskiego 04,,,,,bus_stop,,54.33803939819336,18.620254516601562,przystanek_autobus
3675585130,node,Hevelianum 02,,,,,bus_stop,,54.352455139160156,18.63585662841797,przystanek_autobus
3675585131,node,Hevelianum 01,,,,,bus_stop,,54.352779388427734,18.63482666015625,przystanek_autobus
3675585132,node,Nowe Ogrody,,,,,bus_stop,,54.35272979736328,18.64192008972168,przystanek_autobus
3675633226,node,Zakopiańska,,,,tram_stop,,,54.34880065917969,18.619115829467773,przystanek_tramwaj
3675633227,node,Zakopiańska,,,,tram_stop,,,54.34880447387695,18.618528366088867,przystanek_tramwaj
3678657321,node,Biedronka,,,supermarket,,,,54.337982177734375,18.625835418701172,sklep
3678726283,node,Eurobank,bank,,,,,,54.3359375,18.612489700317383,bank_atm
3678726285,node,Mega Supermarket,,,convenience,,,,54.336063385009766,18.612510681152344,sklep
3678726286,node,Przyjaciel Piekarz,,,bakery,,,,54.33588409423828,18.61251449584961,sklep
3678726290,node,,atm,,,,,,54.33656311035156,18.61249351501465,bank_atm
3678726291,node,Lewiatan,,,convenience,,,,54.33692169189453,18.6126766204834,sklep
3679504305,node,Gościnna 03,,,,,bus_stop,,54.322959899902344,18.632144927978516,przystanek_autobus
